index,audio,image,image time,image effect,text time,text speed,text pos,text effect,text1,text2,text3,select1,select1 moving index,select2,select2 moving index,select3,select3 moving index
1,0,index0.png,0,0,0,0.2,0,0,index0-1(test).txt,0,0,0,2,0,0,0,0
2,0,index0.png,0,0,0,0.2,0,0,index1-1.txt,index1-2.txt,0,0,3,0,0,0,0
3,0,index2.png,0,0,0,0.2,0,0,index2-1.txt,index2-2.txt,0,0,4,0,0,0,0
4,0,index2.png,0,0,0,0.2,0,0,0,index3-2.txt,0,0,5,0,0,0,0
5,0,index4.png,0,0,0,0.2,0,0,index4-1.txt, ,index4-3.txt,0,6,0,0,0,0
6,0,index4.png,0,0,0,0.2,0,0,0,0,index5-3.txt,0,7,0,0,0,0
7,0,index4.png,0,0,0,0.2,0,0,0,0,index6-3.txt,0,8,0,0,0,0
8,0,index7.png,0,0,0,0.2,0,0,0,0,0,0,9,0,0,0,0
9,0,index8.png,0,0,0,0.2,0,0,index8-1.txt,0,index8-3.txt,0,10,0,0,0,0
10,0,index8.png,0,0,0,0.2,0,0,0,0,index9-3.txt,0,11,0,0,0,0
11,0,index8.png,0,0,0,0.2,0,0,0,0,index10-3.txt,0,12,0,0,0,0
12,0,index8.png,0,0,0,0.2,0,0,0,0,index11-3.txt,0,13,0,0,0,0
13,0,index8.png,0,0,0,0.2,0,0,0,0,index12-3.txt,0,14,0,0,0,0
14,0,index8.png,0,0,0,0.2,0,0,0,0,index13-3.txt,0,15,0,0,0,0
15,0,index8.png,0,0,0,0.2,0,0,0,0,index14-3.txt,0,16,0,0,0,0
16,0,index8.png,0,0,0,0.2,0,0,0,0,index15-3.txt,0,17,0,0,0,0
17,0,index8.png,0,0,0,0.2,0,0,0,0,index16-3.txt,0,18,0,0,0,0
18,0,index7.png,0,0,0,0.2,0,0,0,0,0,0,19,0,0,0,0
19,0,index18.png,0,0,0,0.2,0,0,index18-1.txt,0,index18-3.txt,0,20,0,0,0,0
20,0,index18.png,0,0,0,0.2,0,0,0,0,index19-3.txt,0,21,0,0,0,0
21,0,index18.png,0,0,0,0.2,0,0,0,0,index20-3.txt,0,22,0,0,0,0
22,0,index18.png,0,0,0,0.2,0,0,0,0,index21-3.txt,0,23,0,0,0,0
23,0,index18.png,0,0,0,0.2,0,0,0,0,index22-3.txt,0,24,0,0,0,0
24,0,index18.png,0,0,0,0.2,0,0,0,0,index23-3.txt,0,25,0,0,0,0
25,0,index18.png,0,0,0,0.2,0,0,0,0,index24-3.txt,0,26,0,0,0,0
26,0,index18.png,0,0,0,0.2,0,0,0,0,index25-3.txt,0,27,0,0,0,0
27,0,index7.png,0,0,0,0.2,0,0,0,0,0,0,28,0,0,0,0
28,0,index27.png,0,0,0,0.2,0,0,index27-1.txt,0,index27-3.txt,0,29,0,0,0,0
29,0,index27.png,0,0,0,0.2,0,0,index27-1.txt,0,index28-3.txt,0,30,0,0,0,0
30,0,index27.png,0,0,0,0.2,0,0,index27-1.txt,0,index29-3.txt,0,31,0,0,0,0
31,0,index27.png,0,0,0,0.2,0,0,index27-1.txt,0,index30-3.txt,0,32,0,0,0,0
32,0,index7.png,0,0,0,0.2,0,0,0,0,0,0,33,0,0,0,0
33,0,index32.png,0,0,0,0.2,0,0,index32-1.txt,0,0,0,34,0,0,0,0
34,0,index33.png,0,0,0,0.2,0,0,index33-1.txt,0,0,0,35,0,0,0,0
35,0,index34.png,0,0,0,0.2,0,0,index34-1.txt,0,0,0,36,0,0,0,0
36,0,index35.png,0,0,0,0.2,0,0,index35-1.txt,0,0,0,37,0,0,0,0
37,0,index36.png,0,0,0,0.2,0,0,index36-1.txt,0,0,0,38,0,0,0,0
38,0,index37.png,0,0,0,0.2,0,0,index37-1.txt,0,0,0,39,0,0,0,0
39,0,index38.png,0,0,0,0.2,0,0,index38-1.txt,0,0,0,40,0,0,0,0
40,0,index39.png,0,0,0,0.2,0,0,index39-1.txt,0,0,0,41,0,0,0,0
41,0,index40.png,0,0,0,0.2,0,0,index40-1.txt,0,0,0,42,0,0,0,0
42,0,index7.png,0,0,0,0.2,0,0,0,0,0,0,43,0,0,0,0
43,0,index42.png,0,0,0,0.2,0,0,index42-1.txt,0,index42-3.txt,0,44,0,0,0,0
44,0,index43.png,0,0,0,0.2,0,0,index43-1.txt,0,index43-3.txt,0,45,0,0,0,0
45,0,index43.png,0,0,0,0.2,0,0,0,0,index44-3.txt,0,46,0,0,0,0
46,0,index43.png,0,0,0,0.2,0,0,0,0,index45-3.txt,0,47,0,0,0,0
47,0,index46.png,0,0,0,0.2,0,0,0,0,index46-3.txt,A. 근처 문을 연 가게를 찾아 숨어 있으라고 한다.,0,B. 전속력으로 도망치라고 한다.,0,C. 뒤에 있는 사람을 비춰보라고 한다.,0
